Date,Open,High,Low,Close,Adj Close,Volume
2021-10-07,1627.150024,1637.819946,1624.589966,1633.719971,1633.719971,11643700
2021-10-08,1641.920044,1644.160034,1635.770020,1639.410034,1639.410034,11146100
2021-10-11,1644.380005,1646.500000,1629.949951,1633.439941,1633.439941,12398700
2021-10-12,1644.560059,1646.849976,1637.489990,1643.640015,1643.640015,12331600
2021-10-14,1647.560059,1648.619995,1637.420044,1640.969971,1640.969971,12034900
2021-10-15,1646.349976,1651.410034,1635.140015,1638.339966,1638.339966,12657900
2021-10-18,1641.969971,1648.000000,1639.920044,1643.920044,1643.920044,11244300
2021-10-19,1648.479980,1649.660034,1627.119995,1630.390015,1630.390015,12565000
2021-10-20,1633.880005,1639.410034,1632.619995,1637.550049,1637.550049,10783400
2021-10-21,1644.390015,1646.500000,1639.160034,1643.420044,1643.420044,10961000
2021-10-25,1645.000000,1645.910034,1631.290039,1634.199951,1634.199951,8411800
2021-10-26,1635.609985,1639.930054,1627.680054,1635.969971,1635.969971,8972800
2021-10-27,1632.439941,1635.680054,1626.560059,1627.609985,1627.609985,11390900
2021-10-28,1626.060059,1632.300049,1622.560059,1624.310059,1624.310059,8545900
2021-10-29,1626.270020,1629.250000,1619.140015,1623.430054,1623.430054,7225100
2021-11-01,1627.589966,1632.729980,1611.390015,1613.780029,1613.780029,6953100
2021-11-02,1616.739990,1621.689941,1608.640015,1617.890015,1617.890015,7273500
2021-11-03,1620.520020,1623.079956,1607.719971,1611.920044,1611.920044,9541300
2021-11-04,1613.449951,1627.569946,1607.729980,1626.270020,1626.270020,5774100
2021-11-05,1627.449951,1628.599976,1619.619995,1626.219971,1626.219971,4930000
2021-11-08,1631.339966,1635.619995,1621.349976,1626.130005,1626.130005,7402800
2021-11-09,1626.800049,1633.760010,1623.640015,1631.689941,1631.689941,6473800
2021-11-10,1627.670044,1633.430054,1625.130005,1630.469971,1630.469971,6404800
2021-11-11,1629.280029,1634.439941,1626.800049,1632.439941,1632.439941,6530000
2021-11-12,1636.630005,1640.660034,1632.880005,1633.939941,1633.939941,7900600
2021-11-15,1636.410034,1642.599976,1635.219971,1638.729980,1638.729980,7931700
2021-11-16,1642.050049,1648.430054,1639.079956,1644.010010,1644.010010,8418000
2021-11-17,1646.859985,1651.510010,1642.359985,1644.599976,1644.599976,8903400
2021-11-18,1643.390015,1653.680054,1642.500000,1651.020020,1651.020020,9742000
2021-11-19,1653.359985,1656.270020,1641.520020,1645.060059,1645.060059,16123800
2021-11-22,1648.140015,1653.329956,1645.089966,1649.540039,1649.540039,10949800
2021-11-23,1652.619995,1654.489990,1644.020020,1646.420044,1646.420044,10390300
2021-11-24,1650.540039,1658.599976,1647.900024,1649.819946,1649.819946,10532600
